##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	004-2_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5319145
Total Bases	531.9 Mbp
Sequences flagged as poor quality	0
Sequence length	100
%GC	66
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.504575641385976	33.0	31.0	34.0	30.0	34.0
2	31.664426331675486	34.0	31.0	34.0	30.0	34.0
3	31.714734416903468	34.0	31.0	34.0	30.0	34.0
4	35.18265623516562	37.0	35.0	37.0	33.0	37.0
5	35.19218821821928	37.0	35.0	37.0	33.0	37.0
6	35.1572036483307	37.0	35.0	37.0	32.0	37.0
7	35.171357990804914	37.0	35.0	37.0	32.0	37.0
8	35.16595674680799	37.0	35.0	37.0	32.0	37.0
9	36.806139708543384	39.0	37.0	39.0	33.0	39.0
10-11	36.76179564572878	39.0	37.0	39.0	33.0	39.0
12-13	36.676123606331466	39.0	37.0	39.0	33.0	39.0
14-15	37.97793442367147	40.0	38.0	41.0	33.0	41.0
16-17	37.82247128062875	40.0	38.0	41.0	33.0	41.0
18-19	37.79443322188058	40.0	38.0	41.0	33.0	41.0
20-21	37.68695147434409	40.0	38.0	41.0	33.0	41.0
22-23	37.478790012304614	40.0	38.0	41.0	32.0	41.0
24-25	37.13305380845982	40.0	37.0	41.0	31.5	41.0
26-27	36.849781966838655	40.0	37.0	41.0	31.0	41.0
28-29	36.62270750280355	39.5	36.0	41.0	31.0	41.0
30-31	36.35215565659519	39.0	35.0	41.0	30.0	41.0
32-33	35.98695984035028	39.0	35.0	40.5	30.0	41.0
34-35	35.44732386501966	38.0	35.0	40.0	28.5	41.0
36-37	35.04895598822743	37.5	34.5	40.0	28.0	41.0
38-39	34.51432420059991	36.5	34.0	39.5	27.0	41.0
40-41	34.00153088513285	35.5	33.0	39.0	26.5	41.0
42-43	33.603856070853496	35.0	33.0	38.5	25.5	40.0
44-45	33.11201762689305	35.0	33.0	37.5	24.5	40.0
46-47	32.7200460788341	35.0	33.0	36.5	24.0	39.5
48-49	32.29883336513669	35.0	33.0	35.5	23.0	39.0
50-51	30.493021246835724	33.0	30.0	34.5	21.5	36.5
52-53	30.874182316894917	33.5	30.5	35.0	22.5	36.0
54-55	31.52270834880418	35.0	32.5	35.0	23.0	36.0
56-57	31.431548209345674	35.0	33.0	35.0	23.0	35.0
58-59	31.256323995679757	35.0	32.0	35.0	22.5	35.0
60-61	31.436569599061503	35.0	33.0	35.0	23.0	35.0
62-63	31.330700986718732	35.0	33.0	35.0	22.5	35.0
64-65	31.228001492721106	35.0	33.0	35.0	22.5	35.0
66-67	31.14243510940198	35.0	33.0	35.0	22.5	35.0
68-69	31.028649999201	35.0	33.0	35.0	22.0	35.0
70-71	30.965246576282468	35.0	33.0	35.0	23.0	35.0
72-73	30.856629589905896	35.0	32.0	35.0	22.5	35.0
74-75	30.746670940536497	35.0	32.0	35.0	20.0	35.0
76-77	30.586327595882423	35.0	31.5	35.0	20.0	35.0
78-79	30.437503113752307	35.0	31.0	35.0	20.0	35.0
80-81	30.296441815366943	34.5	31.0	35.0	19.0	35.0
82-83	30.101498925109205	34.0	31.0	35.0	17.5	35.0
84-85	29.996311719270672	34.0	31.0	35.0	16.0	35.0
86-87	29.846733074582474	34.0	31.0	35.0	15.0	35.0
88-89	29.623747049572817	34.0	30.0	35.0	9.5	35.0
90-91	29.371978203263872	34.0	30.0	35.0	3.5	35.0
92-93	29.105629382165745	34.0	30.0	35.0	2.0	35.0
94-95	28.788544775523135	33.5	29.0	35.0	2.0	35.0
96-97	28.364952074064533	33.0	29.0	35.0	2.0	35.0
98-99	27.796986169769767	33.0	28.5	35.0	2.0	35.0
100	24.135481172256068	29.0	19.0	33.0	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.10787131354505419
1101	2	0.050516906056124355
1101	3	0.11817507594432897
1101	4	0.04201406118531992
1101	5	0.12417633795016769
1101	6	0.15320656350205297
1101	7	0.08570161874885684
1101	8	-0.058747213016793864
1101	9	-0.09270247596971615
1101	10-11	-0.04225655463110911
1101	12-13	-0.006872824636090513
1101	14-15	0.05120940462305157
1101	16-17	-0.04626325674244214
1101	18-19	-0.030164376535573467
1101	20-21	-0.07642464040259256
1101	22-23	-0.1073848213976234
1101	24-25	-0.08788515912160477
1101	26-27	-0.10349913508954245
1101	28-29	-0.14985207156366442
1101	30-31	-0.2428925807043001
1101	32-33	-0.0847445990842246
1101	34-35	-0.3740431831993547
1101	36-37	-0.251467552150352
1101	38-39	-0.3512526841282124
1101	40-41	-0.4211062812542039
1101	42-43	-0.43596630255976265
1101	44-45	-0.5118532168528915
1101	46-47	-0.5994656729086927
1101	48-49	-0.4919090939661359
1101	50-51	-0.6347842340283876
1101	52-53	-0.4087070137238378
1101	54-55	-0.24246765795982483
1101	56-57	-0.1969735451726855
1101	58-59	-0.3625130826915921
1101	60-61	-0.35433574087574016
1101	62-63	-0.28480147719457705
1101	64-65	-0.23975657361695468
1101	66-67	-0.3923650693566074
1101	68-69	-0.3180024643661916
1101	70-71	-0.39291562659880697
1101	72-73	-0.36910907861225084
1101	74-75	-0.45681610034568365
1101	76-77	-0.5916975289115953
1101	78-79	-0.5374970818339939
1101	80-81	-0.6252743151883067
1101	82-83	-0.6983074574736889
1101	84-85	-0.7771474190424144
1101	86-87	-0.8251183333843564
1101	88-89	-0.9939165258166973
1101	90-91	-1.2932877603902213
1101	92-93	-1.75049007074389
1101	94-95	-1.5473200529644409
1101	96-97	-1.972821629812202
1101	98-99	-1.8895452195186273
1101	100	-1.8187472751964187
1102	1	0.052570178604241846
1102	2	0.09437940897461061
1102	3	0.09776304081005449
1102	4	0.14080711097860643
1102	5	0.0886336040617266
1102	6	0.15187887935088895
1102	7	0.05405383235445527
1102	8	0.03171459798981857
1102	9	0.12149439954733765
1102	10-11	-0.07699199472423857
1102	12-13	-0.03721201389434725
1102	14-15	0.0498060264590805
1102	16-17	0.03814953383243136
1102	18-19	-0.03920244106853232
1102	20-21	-0.01152849418338775
1102	22-23	0.07535771418367432
1102	24-25	-0.07017354976894552
1102	26-27	-0.021697285456475868
1102	28-29	-0.11317298629318628
1102	30-31	-0.20023121973328983
1102	32-33	-0.12022425728738995
1102	34-35	-0.03841149568516755
1102	36-37	-0.13813930570991317
1102	38-39	-0.13425069537770185
1102	40-41	-0.17957913723763852
1102	42-43	-0.036224577869525376
1102	44-45	-0.18983112938780522
1102	46-47	-0.2634584904481869
1102	48-49	-0.2557511280749907
1102	50-51	-0.3637252264536244
1102	52-53	-0.3597849842041647
1102	54-55	-0.2691613868711862
1102	56-57	-0.2721141541794303
1102	58-59	-0.3056364738548325
1102	60-61	-0.1271870534593731
1102	62-63	-0.1098439312464734
1102	64-65	-0.17938716067260074
1102	66-67	-0.20000916284032044
1102	68-69	-0.24143930244238732
1102	70-71	-0.32598911809928666
1102	72-73	-0.4244425106588743
1102	74-75	-0.4372559219624108
1102	76-77	-0.5388938162965395
1102	78-79	-0.38386612059947467
1102	80-81	-0.5331100668695754
1102	82-83	-0.5465693091780004
1102	84-85	-0.5981809299384295
1102	86-87	-0.6959670791034576
1102	88-89	-0.811798948400309
1102	90-91	-0.9791464565618888
1102	92-93	-0.9472175976301784
1102	94-95	-1.0795394687387478
1102	96-97	-1.3542296743645004
1102	98-99	-1.4142356573276942
1102	100	-1.3543664847639647
1103	1	-0.033301580976253575
1103	2	-0.014185376665739824
1103	3	0.033343444163371316
1103	4	0.10960631018691913
1103	5	0.008051619599818594
1103	6	0.03229142357074011
1103	7	0.02024950307436768
1103	8	0.03174426368203598
1103	9	0.08529242714280372
1103	10-11	0.04994413531341024
1103	12-13	0.12266859534432939
